Drug,TargetSet,Z_score,Observed,PermMean
RTX,DEGs,-2.480851455898113,0.6428571428571429,0.8191190476190477
RTX,GWAS,-9.756522393684236,1.7619047619047619,3.4862380952380954
RTX,ALL,-5.510670597581181,0.42857142857142855,0.7874761904761906
TAC,DEGs,-0.8836279849201579,0.7142857142857143,0.8223571428571429
TAC,GWAS,-1.7783791438363734,2.9285714285714284,3.4995714285714286
TAC,ALL,-1.852699667390706,0.5714285714285714,0.7812142857142857
CTX,DEGs,-2.7234372282034975,0.5294117647058824,0.825
CTX,GWAS,-5.039834810002163,2.0,3.4819411764705883
CTX,ALL,-2.611259225665737,0.5294117647058824,0.7880588235294117
